Estacion
3 - River
29 - Cabildo Deheza
31 - Centenario
36 - Lincoln y NY
56 - Olivos
65 - D 74
66 - 7y45
289 - Estacion Lima
599 - Cramer
1066 - Cordoba y Salg
1068 - Giufra
1132 - Jorge Newbery
1230 - Libertador
1291 - Pilar
1344 - 7  532 La Plata
1389 - Chascomus
1401 - Sarandi
1425 - Ituzaingo
1426 - Ciudadela
1428 - Sta Fe Acassuso
1438 - a Tigre
1439 - de Tigre
1450 - Pinamar
1469 - Autopista Illia
1478 - Parque Leloir
1482 - Av.Belgrano
1506 - Gral.Paz (Pcia)
1507 - Gral. Paz (Cap)
1539 - 24 de Noviembre
1553 - Cdro. Rivadavia
1584 - Arroyo Sarandi
1682 - Las Armas
1695 - Diaz Velez
1716 - Lado Cañuelas
1717 - Lado Ezeiza
1735 - Mano a La Plata
1736 - Mano a Bs.As.
1775 - Plaza España
1956 - Dellepiane Norte
